"Metric name","Metric type","Metric unit","Metric description","NVIDIA GeForce RTX 3060 Laptop GPU"
"gpu__compute_memory_access_throughput","Throughput","%","Compute Memory Pipeline : throughput of internal activity within caches and DRAM","1"
"gpu__compute_memory_access_throughput_internal_activity","Throughput","%","Compute Memory Pipeline : throughput of internal activity within caches and DRAM, internal activity","1"
"gpu__compute_memory_request_throughput","Throughput","%","Compute Memory Pipeline : throughput of interconnects between SM<->Caches<->DRAM","1"
"gpu__compute_memory_request_throughput_internal_activity","Throughput","%","Compute Memory Pipeline : throughput of interconnects between SM<->Caches<->DRAM, internal activity","1"
"gpu__compute_memory_throughput","Throughput","%","Compute Memory Pipeline Throughput","1"
"gpu__cycles_active","Counter","cycle","# of cycles where GPU was active","1"
"gpu__cycles_elapsed","Counter","cycle","# of cycles elapsed on GPU","1"
"gpu__cycles_in_frame","Counter","cycle","# of cycles in user-defined frame","1"
"gpu__cycles_in_region","Counter","cycle","# of cycles in user-defined region","1"
"gpu__dram_throughput","Throughput","%","GPU DRAM throughput","1"
"gpu__time_active","Counter","ns","total duration in nanoseconds","1"
"gpu__time_duration","Counter","ns","equals to gpu__time_duration_measured_user if collectable, otherwise equals to gpu__time_duration_measured_wallclock","1"
"gpu__time_duration_measured_user","Counter","ns","context-aware time duration in nanoseconds","1"
"gpu__time_duration_measured_wallclock","Counter","ns","wall-clock duration in nanoseconds","1"
"gpu__time_end","Counter","ns","end timestamp, relative to start of frame","1"
"gpu__time_start","Counter","ns","start timestamp, relative to start of frame","1"
"gr__ctas_launched","Counter","block","# of CTAs launched","1"
"gr__cycles_active","Counter","cycle","# of cycles where GR was active","1"
"gr__cycles_elapsed","Counter","cycle","# of cycles elapsed on GR","1"
"gr__cycles_idle","Counter","cycle","# of cycles where GR was idle","1"
"gr__cycles_in_frame","Counter","cycle","# of cycles in user-defined frame","1"
"gr__cycles_in_region","Counter","cycle","# of cycles in user-defined region","1"
"idc__cycles_active","Counter","cycle","# of cycles where IDC was active","1"
"idc__cycles_elapsed","Counter","cycle","# of cycles elapsed on IDC","1"
"idc__cycles_in_frame","Counter","cycle","# of cycles in user-defined frame","1"
"idc__cycles_in_region","Counter","cycle","# of cycles in user-defined region","1"
"idc__request_cycles_active","Counter","cycle","# of cycles where IDC processed requests from SM","1"
"idc__request_hit_rate","Ratio","","proportion of IDC requests that hit","1"
